complaint_text,sector
Transformer making unusual noise and sparking - serious issue since yesterday,Electricity
No proper drinking water facility in school - major issue since last week,Education
Fertilizer subsidy not credited to farmers - frequent issue for the past few days,Agriculture
City bus route cancelled suddenly without notice - major issue for a month,Transport
Complaint: Teachers absent regularly and classes not held - severe issue for a month,Education
Tap water is muddy and smells bad - severe issue regularly - kindly fix this,Water
City bus route cancelled suddenly without notice - severe issue since yesterday,Transport
Railway crossing gate not working causing traffic jams - minor issue since last week,Transport
"Paddy crops affected by pest attack, need support - serious issue for many days",Agriculture
Street is damaged and difficult for vehicles,Roads
garbeg not collected for many days - major issue since last week,Sanitation
Railway crossing gate not working causing traffic jams - please resolve asap - please resolve,Transport
Kindly note: Frequent power cuts disturbing daily life - frequent issue since last week,Electricity
Street is damaged and difficult for vehicles - major issue for the past few days,Roads
Street lights not working at night - repeated issue for the past few days,Electricity
Footpath broken and dangerous for pedestrians - serious issue regularly,Roads
Teachers absent regularly and classes not held - severe issue for a month - please take action,Education
No drinking water supply since yesterday - frequent issue today,Water
Electric pole leaning dangerously and may fall - urgent issue today - please resolve asap,Electricity
"Paddy crops affected by pest attack, need support - asap issue today - cheppandi",Agriculture
Irregular water supply causing problems - minor issue since yesterday,Water
Traffic signals not working properly at busy junctions - frequent issue for the past few days,Transport
Medicines not available in government hospital pharmacy - major issue since last week,Health
Speeding vehicles in residential area need control - minor issue since last week - no one is taking action,PublicSafety
Street is damaged and difficult for vehicles - serious issue for a month,Roads
Potholes on the main road causing accidents - serious issue since last week,Roads
Need new ration card application processed quickly - repeated issue for many days - plz solve asap,Other
Frequent power cuts disturbing daily life - severe issue today,Electricity
Fertilizer subsidy not credited to farmers - major issue for the past few days - no one is taking action,Agriculture
No drinking water supply since yesterday - serious issue since yesterday,Water
Seeds not available on time for farmers - frequent issue regularly,Agriculture
Attention: No drinking water supply since yesterday - major issue since last week,Water
Attention: Divider damaged and unsafe for traffic - major issue for a month - this is urgent,Roads
Public toilet is dirty and unusable - severe issue for a month,Sanitation
Need new ration card application processed quickly - major issue since yesterday - cheppandi,Other
Street is damaged and difficult for vehicles - major issue today - kindly fix this - please resolve,Roads
Attention: Seeds no available on time for farmers - severe issue today - this is asap,Agriculture
Seeds not available on time for farmers - repeated issue for many days,Agriculture
Potholes on the main road causing accidents - minor issue for many days,Roads
Sewage water overflowing on the street - serious issue since last week - kindly fix this,Sanitation
Open drains causing mosquito issue - please fix,Sanitation
Chain snatching incidents reported in the area - frequent issue for many days - requesting help,PublicSafety
City bus route cancelled suddenly without notice - urgent issue since yesterday - kripya isko thik karein,Transport
Complaint: Public toilet is dirty and unusable - minor issue today,Sanitation
"Stray dogs attacking people, need control measures - minor issue for the past few days",Health
 Frequent power cuts disturbing daily life - frequent issue regularly,Electricity
Open drains causing mosquito problem - major issue for the past few days,Sanitation
No drinking water supply since yesterday - frequent issue for many days - requesting help,Water
Bus stop lacks shelter and seating for passengers - urgent issue regularly - please resolve asap,Transport
Electric pole leaning dangerously and may fall - repeated issue since yesterday - plz,Electricity
Fertilizer subsidy not credited to farmers - minor issue today,Agriculture
Street lights not working at night - urgent issue today,Electricity
Pipeline leakage flooding the street,Water
Street lights not working at night - severe issue for many days,Electricity
Drunken driving at night causing danger - severe issue regularly,PublicSafety
Mid-day meal quality is poor and insufficient - repeated issue for the past few days,Education
Sewage water overflowing on the street - major issue for a month,Sanitation
Delay in pension disbursement for senior citizens - minor issue since last week,Other
Sewage water overflowing on the street - minor issue for the past few days - kindly fix this,Sanitation
Health center closed during working hours - major issue since last week,Health
Voltage fluctuations damaging appliances - severe issue since yesterday,Electricity
Garbage not collected for many days - serious issue for many days,Sanitation
Hospital toilets unhygienic and unusable - frequent issue since yesterday,Health
Attention: Street is damaged and difficult for vehicles - severe issue today - kripya isko thik karein,Roads
 School building walls are cracked and unsafe - urgent issue for many days,Education
Divider damaged and unsafe for traffic - major issue today,Roads
Traffic signals not working properly at busy junctions,Transport
Kindly note: Potholes on the main road causing accidents - minor issue since yesterday - plz solve asap,Roads
Kindly note: Drunken driving at night causing danger - frequent issue regularly - requesting help,PublicSafety
Noise pollution from nearby factory at night - urgent issue regularly,Other
Sewage water overflowing on the street - frequent issue since last week,Sanitation
Kindly note: Voltage fluctuations damaging appliances - frequent issue since yesterday,Electricity
Health center closed during working hours - urgent issue for the past few days,Health
Noise pollution from nearby factory at night - major issue for a month,Other
Speeding vehicles in residential area need control - severe issue for many days - please take action,PublicSafety
Auto drivers overcharging passengers on routes - severe issue since yesterday,Transport
No proper drinking water facility in school - urgent issue since yesterday,Education
Traffic signals not working properly at busy junctions - urgent issue since yesterday - kripya isko thik karein,Transport
Voltage fluctuations damaging appliances,Electricity
Traffic signals not working properly at busy junctions - severe issue since last week - please fix,Transport
Sewage water overflowing on the street - serious issue for many days,Sanitation
Illegal sand mining observed nearby - repeated issue for a month,PublicSafety
 Chain snatching incidents reported in the area - severe issue for a month,PublicSafety
Noise pollution from nearby factory at night - urgent issue today - this is urgent,Other
Divider damaged and unsafe for traffic - minor issue for a month,Roads
Sewage water overflowing on the street - urgent issue for a month,Sanitation
Debris blocking the road and not cleared - repeated issue since last week - this is urgent,Roads
"Paddy crops affected by pest attack, need support - major issue regularly - please resolve",Agriculture
Complaint: Waste dumped in open area creating strong smell - severe issue since yesterday,Sanitation
Fertilizer subsidy not credited to farmers - frequent issue today - this is urgent,Agriculture
Transformer making unusual noise and sparking - repeated issue regularly,Electricity
Aadhaar update facility not available at office - major issue for a month,Other
Footpath broken and dangerous for pedestrians - urgent issue for the past few days - please take action,Roads
Kindly note: Bus stop lacks shelter and seating for passengers - frequent issue since yesterday,Transport
Illegal sand mining observed nearby - serious issue today,PublicSafety
Transformer making unusual noise and sparking - repeated issue for many days - please resolve asap,Electricity
Chain snatching incidents reported in the area - major issue for a month,PublicSafety
Pipeline leakage flooding the street - severe issue since yesterday - kripya isko thik karein,Water
"Complaint: Paddy crops affected by pest attack, need support - severe issue for many days - cheppandi emi chestaru",Agriculture
Open drains causing mosquito problem - urgent issue regularly,Sanitation
Teachers absent regularly and classes never held - minor issue today - cheppandi emi chestaru,Education
Kindly note: Seeds not available on time for farmers - frequent issue since yesterday,Agriculture
Frequent power cuts disturbing daily life - major issue for many days,Electricity
Sewage water overflowing on the street - urgent issue today,Sanitation
Open drains causing mosquito problem - urgent issue since yesterday,Sanitation
Open drains causing mosquito problem - kripya isko thik karein,Sanitation
Irregular water supply causing problems - repeated issue today - no one is taking action,Water
Government office staff rude and not helpful - severe issue regularly,Other
Complaint: Railway crossing gate not working causing traffic jams - major issue for the past few days,Transport
Complaint: Pipeline leakage flooding the street - minor issue regularly,Water
Hospital toilets unhygienic and unusable - frequent issue today,Health
Medicines not available in government hospital pharmacy - major issue for many days - this is urgent,Health
Irregular water supply causing problems - severe issue for many days - please resolve asap - cheppandi,Water
School needs more benches and fans - repeated issue for a month,Education
School building walls are cracked and unsafe - minor issue today,Education
Fertilizer subsidy not credited to farmers - please resolve asap,Agriculture
Noise pollution from nearby factory at night - urgent issue for many days,Other
Kindly note: Aadhaar update facility not available at office - major issue for many days,Other
No drinking water supply since yesterday - severe issue today,Water
Hospital toilets unhygienic and unusable - frequent issue today - please resolve asap,Health
Overhead water tank leaking heavily - frequent issue for the past few days - requesting help,Water
Complaint: Crop insurance claim pending for a long time - severe issue since last week - kindly fix this,Agriculture
Delay in pension disbursement for senior citizens - frequent issue since yesterday,Other
Medicines not available in government hospital pharmacy - frequent issue today,Health
Open drains causing mosquito problem - urgent issue for a month,Sanitation
Railway crossing gate never working causing traffic jams - major issue for many days,Transport
Irrigation water not reaching the fields - severe issue for many days,Agriculture
Frequent power cuts disturbing daily life - frequent issue for the past few days,Electricity
Drunken driving at night causing danger - minor issue regularly,PublicSafety
"Stray dogs attacking people, need control measures - major issue since yesterday - please take action",Health
Tap water is muddy and smells bad - urgent issue for the past few days,Water
Street is damaged and difficult for vehicles - minor issue for many days,Roads
Auto drivers overcharging passengers on routes - minor issue since yesterday - kripya isko thik karein,Transport
 Garbage not collected for many days - minor issue for many days,Sanitation
Transformer making unusual noise and sparking - severe issue for the past few days,Electricity
Tap water is muddy and smells bad - serious issue today,Water
Street lights never working at night - please resolve asap,Electricity
Chain snatching incidents reported in the area - serious issue for many days,PublicSafety
Government office staff rude and not helpful - severe issue regularly,Other
Frequent power cuts disturbing daily life - serious issue since yesterday,Electricity
Voltage fluctuations damaging appliances - minor issue today,Electricity
Kindly note: Crop insurance claim pending for a long time - minor issue since yesterday,Agriculture
Delay in pension disbursement for senior citizens - serious issue for many days,Other
Auto drivers overcharging passengers on routes - serious issue since last week,Transport
Voltage fluctuations damaging appliances - urgent issue today,Electricity
Noise pollution from nearby factory at night - major issue since last week,Other
Bus stop lacks shelter and seating for passengers - frequent issue today - please resolve asap,Transport
Pipeline leakage flooding the street - major issue for many days - cheppandi,Water
Pipeline leakage flooding the street - immediate issue today - kindly fix this,Water
Debris blocking the road and not cleared - serious issue since last week,Roads
Kindly note: Loudspeakers used at night disturbing sleep - repeated issue for a month - cheppandi emi chestaru,PublicSafety
Garbage not collected for many days - cheppandi emi chestaru,Sanitation
Divider damaged and unsafe for traffic - frequent issue regularly,Roads
 Seeds not available on time for farmers - major issue regularly - requesting help,Agriculture
Need new ration card application processed quickly - urgent issue for a month,Other
Attention: City bus route cancelled suddenly without notice - serious issue since yesterday,Transport
Auto drivers overcharging passengers on routes - urgent issue today,Transport
School needs more benches and fans - urgent issue today,Education
Footpath broken and dangerous for pedestrians - serious issue for many days,Roads
School needs more benches and fans - frequent issue for many days - plz solve asap,Education
Illegal sand mining observed nearby - minor issue for a month,PublicSafety
Hospital toilets unhygienic and unusable - minor issue since yesterday,Health
Seeds not available on time for farmers - major issue for a month - cheppandi emi chestaru,Agriculture
 Footpath broken and dangerous for pedestrians - repeated issue regularly,Roads
Aadhaar update facility not available at office - severe issue regularly,Other
Attention: Auto drivers overcharging passengers on routes - serious issue today,Transport
Railway crossing gate no working causing traffic jams - urgent issue for many days,Transport
Kindly nevere: Seeds not available on time for farmers - minor issue since last week,Agriculture
City bus route cancelled suddenly without notice - severe issue for many days,Transport
Complaint: Crop insurance claim pending for a long time - repeated issue for a month - kindly fix this,Agriculture
Kindly note: Hospital toilets unhygienic and unusable - repeated issue since yesterday - this is urgent,Health
Tap water is muddy and smells bad - serious issue regularly,Water
Sewage water overflowing on the street - repeated issue for the past few days,Sanitation
Voltage fluctuations damaging appliances - minor issue for many days,Electricity
Crop insurance claim pending for a long time - repeated issue today,Agriculture
Health center closed during working hours - serious issue for many days - please resolve asap,Health
 School building walls are cracked and unsafe - severe issue since last week,Education
Seeds not available on time for farmers - serious issue for the past few days,Agriculture
Illegal sand mining observed nearby - serious issue for the past few days,PublicSafety
Potholes on the main road causing accidents - minor issue since last week,Roads
School building walls are cracked and unsafe - major issue for a month,Education
Debris blocking the road and not cleared - frequent issue since last week - please fix,Roads
Transformer making unusual noise and sparking - severe issue for a month,Electricity
Kindly note: Divider damaged and unsafe for traffic - severe issue for the past few days,Roads
Complaint: Delay in pension disbursement for senior citizens - urgent issue today,Other
"Paddy crops affected by pest attack, need support - frequent issue today",Agriculture
Kindly note: Ambulance not arriving quickly during emergencies - asap issue for the past few days,Health
Electric pole leaning dangerously and may fall - major issue since last week,Electricity
Complaint: Transformer making unusual noise and sparking - repeated issue for many days - cheppandi emi chestaru,Electricity
Potholes on the main road causing accidents - urgent issue today,Roads
Divider damaged and unsafe for traffic - repeated issue for the past few days,Roads
Health center closed during working hours - severe issue regularly - no one is taking action,Health
Footpath cracked and dangerous for pedestrians - serious issue for many days - please resolve asap,Roads
Attention: Teachers absent regularly and classes not held - frequent issue for the past few days - please resolve asap,Education
Fertilizer subsidy not credited to farmers - severe issue for a month,Agriculture
Waste dumped in open area creating strong smell - repeated issue for many days - this is urgent,Sanitation
Attention: Crop insurance claim pending for a long time,Agriculture
Attention: Overhead water tank leaking heavily - severe issue today,Water
Ambulance not arriving quickly during emergencies,Health
 Auto drivers overcharging passengers on routes - severe issue since last week - please take action,Transport
Aadhaar update facility not available at office,Other
Delay in pension disbursement for senior citizens - severe issue since yesterday - no one is taking action,Other
Open drains causing mosquito problem - major issue for the past few days,Sanitation
Railway crossing gate not working causing traffic jams - major issue for a month - no one is taking action,Transport
 City bus route cancelled suddenly without notice - major issue today,Transport
Debris blocking the road and not cleared - urgent issue for a month,Roads
Complaint: Loudspeakers used at night disturbing sleep - severe issue for a month,PublicSafety
Need new ration card application processed quickly,Other
No proper drinking water facility in school - frequent issue for many days,Education
Ambulance not arriving quickly during emergencies - minor issue for a month,Health
Street lights not working at night - minor issue for the past few days - please resolve asap,Electricity
No drinking water supply since yesterday - frequent issue for many days - cheppandi,Water
Electric pole leaning dangerously and may fall - serious issue since yesterday - kripya isko thik karein,Electricity
Pipeline leakage flooding the street - frequent issue for a month,Water
 Transformer making unusual noise and sparking - serious issue for a month - kindly fix this,Electricity
Noise pollution from nearby factory at night - serious issue today - this is urgent,Other
Public toilet is dirty and unusable - major issue for many days,Sanitation
Garbage not collected for many days - severe issue since last week - please take action,Sanitation
Ambulance not arriving quickly during emergencies - severe issue for the past few days - kindly fix this,Health
Garbage not collected for many days - serious issue since last week - cheppandi emi chestaru,Sanitation
Pipeline leakage flooding the street - no one is taking action,Water
Complaint: Medicines not available in government hospital pharmacy - severe issue regularly,Health
Noise pollution from nearby factory at night - repeated issue since last week - kindly fix this,Other
"Stray dogs attacking people, need control measures - urgent issue for many days - cheppandi",Health
Attention: Sewage water overflowing on the street,Sanitation
Attention: Public toilet is dirty and unusable - serious issue regularly,Sanitation
Transformer making unusual noise and sparking - frequent issue today,Electricity
Health center closed during working hours - major issue for the past few days - plz,Health
Traffic signals not working properly at busy junctions - repeated issue for many days,Transport
"Paddy crops affected by pest attack, need support - frequent issue for a month",Agriculture
 Footpath broken and dangerous for pedestrians,Roads
Kindly note: School needs more benches and fans - urgent issue since last week - kripya isko thik karein,Education
Irrigation water not reaching the fields - major issue since yesterday,Agriculture
Auto drivers overcharging passengers on routes - urgent issue for many days,Transport
Illegal sand mining observed nearby - frequent issue for many days,PublicSafety
Ambulance no arriving quickly during emergencies - severe issue for a month,Health
Chain snatching incidents reported in the area - urgent issue since last week,PublicSafety
Kindly note: Hospital toilets unhygienic and unusable - minor issue today,Health
Garbage not collected for many days - frequent issue today,Sanitation
Kindly note: Seeds not available on time for farmers - major issue regularly - plz solve asap,Agriculture
Kindly note: School needs more benches and fans - urgent issue since last week - requesting help,Education
Loudspeakers used at night disturbing sleep - urgent issue for a month,PublicSafety
Chain snatching incidents reported in the area - frequent issue for the past few days,PublicSafety
Divider damaged and unsafe for traffic - repeated issue since last week,Roads
Irregular water supply causing problems,Water
Teachers absent regularly and classes not held,Education
Public toilet is dirty and unusable - urgent issue since last week,Sanitation
eletric pole leaning dangerously and may fall - repeated issue for a month - kripya isko thik karein,Electricity
Open drains causing mosquito concern - urgent issue today,Sanitation
Potholes on the main road causing accidents,Roads
Debris blocking the road and not cleared - frequent issue since yesterday,Roads
Complaint: Health center closed during working hours - serious issue for a month - kripya isko thik karein,Health
School building walls are cracked and unsafe,Education
Public toilet is dirty and unusable - minor issue for the past few days,Sanitation
Street lights not working at night - frequent issue for a month,Electricity
Drunken driving at night causing danger - major issue since yesterday,PublicSafety
Auto drivers overcharging passengers on routes - urgent issue for many days,Transport
Attention: Sewage water overflowing on the street - frequent issue for the past few days,Sanitation
Electric pole leaning dangerously and may fall - severe issue for a month,Electricity
Sewage water overflowing on the street - repeated issue for a month,Sanitation
Medicines not available in government hospital pharmacy - minor issue for many days - please take action,Health
Divider damaged and unsafe for traffic - frequent issue since yesterday - please take action,Roads
Complaint: Bus stop lacks shelter and seating for passengers - serious issue for the past few days,Transport
Pipeline leakage flooding the street - major issue since last week,Water
School needs more benches and fans - major issue for a month - requesting help,Education
Hospital toilets unhygienic and unusable - major issue regularly,Health
